Date,City,Country,Perpetrator,Weapon,Injuries,Fatalities,Description
24-May-68,Quebec,Canada,Unknown,Explosives,0,0,"CANADA.  An explosion, probably caused by dynamite, damaged the entrance door of the U.S. embassy in Quebec, as well as breaking a number of windows."
24-May-68,Brussels,Belgium,Unknown,Fire or Firebomb,0,0,"BELGIUM.  A Molotov cocktail exploded in the basement window well of the USIS library in Brussels, causing no injuries."
24-May-68,Key West,United States,Anti-Castro Cubans,Explosives,0,0,"UNITED STATES.  The British cargo ship Granwood, 25 miles from Key West, Florida, was extensively damaged by a bomb allegedly placed by El Poder Cubano members."
26-May-68,Miami,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The Mexican consul general's residence in Miami was damaged by a bomb placed by El Poder Cubano.
30-May-68,Tampa,United States,Anti-Castro Cubans,Explosives,0,0,"UNITED STATES.  El Poder Cubano was credited with bombing a Japanese ship the Asaka Maru near Tampa, Florida, causing $100,000 in damage."
30-May-68,New York City,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES - El Poder Cubano bombed the Spanish National Tourist Office in New York City.They were previously bombed on 22 April 1968.
01-Jun-68,Galveston,United States,Anti-Castro Cubans,Explosives,0,0,"UNITED STATES.  The Japanese ship Mikagasan Maru, in Galveston, Texas, was extensively damaged by a bomb allegedly placed by El Poder Cubano."
07-Jun-68,,Bahamas,Other,Unknown,0,1,"BAHAMAS.  Haitian Consul Joseph Antoine Dorce was assassinated by four Haitian exiles, members of the Haitian Coalition, a New York-based anti-Duvalier organization."
19-Jun-68,Santo Domingo,Dominican Republic,Other,Unknown,0,0,"DOMINICAN REPUBLIC.  A Venezuelan VIASA Airlines DC9, flying from Santo Domingo to Curacao was hijacked to Cuba by three Dominican leftists."
21-Jun-68,New York City,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The Spanish National Tourist Office in New York City was again bombed by El Poder Cubano.This is the third time this office was bombed.  See 22 April and 30 May 1968.
04-Jul-68,New York City,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The Canadian consulate and tourist office in New York City was bombed by El Poder Cubano.
04-Jul-68,New York City,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The Australian National Tourist Office in New York City was bombed by El Poder Cubano.
07-Jul-68,New York City,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The Japanese National Tourist Office in New York City was bombed by El Poder Cubano.
09-Jul-68,New York City,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The Yugoslav mission to the United Nations in New York City was bombed by El Poder Cubano.
09-Jul-68,New York City,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The Cuban mission to the United Nations in New York City was bombed by El Poder Cubano.
14-Jul-68,Chicago,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  El Poder Cubano terrorists bombed the Mexican National Tourist Office in Chicago.
15-Jul-68,New York City,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  A bomb placed by El Poder Cubano in the French National Tourist Office in New York City was found and removed by police.
15-Jul-68,New York City,United States,Unknown,Explosives,0,0,UNITED STATES.  A hand grenade was thrown at the residence of the Cuban Ambassador to the United Nations in New York City.
16-Jul-68,,United States,Anti-Castro Cubans,Explosives,0,0,"UNITED STATES.  A bomb placed by El Poder Cubano in the Mexican Consulate was dismantled by police as was another bomb at the offices of Aeronaves de Mexico, the Mexican national airline."
16-Jul-68,,United States,Anti-Castro Cubans,Explosives,0,0,"UNITED STATES.  Police dismantled a bomb placed by El Poder Cubano at the offices of Aeronaves de Mexico, the Mexican national airline. Another bomb in the Mexican Consulate was also defused."
18-Jul-68,Copenhagen,Denmark,Other,Explosives,0,0,DENMARK.  A time bomb believed to have been planted by Croatian terrorists operating from Sweden was discovered at the Yugoslav embassy in Copenhagen and disarmed.
18-Jul-68,Oslo,Norway,Other,Explosives,0,0,NORWAY.  A time bomb believed to have been planted by Croatian terrorists operating from Sweden was discovered at the Yugoslav embassy in Oslo and disarmed.
19-Jul-68,Los Angeles,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES - El Poder Cubano placed a bomb at the Shell Data Center in Los Angeles.
19-Jul-68,Los Angeles,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  An Air France ticket office in Los Angeles was damaged by a bomb placed by El Poder Cubano.
19-Jul-68,Los Angeles,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  El Poder Cubano terrorists bombed the Mexican National Tourist Office in Los Angeles.
19-Jul-68,Los Angeles,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  El Poder Cubano bombed the Japan Air Lines offices in Los Angeles.
20-Jul-68,Quito,Ecuador,Unknown,Explosives,0,0,ECUADOR.  A small bomb exploded at the Quito home of the U.S. public affairs officer.
22-Jul-68,Rome,Italy,Popular Front for the Liberation of Palestine (PFL,Firearms,0,0,"ITALY.  An El Al Israel Airlines plane flying from Rome to Tel Aviv with 10 crew members and 38 passengers was hijacked and diverted to Algeria.  Three armed members of the Popular Front for the Liberation of Palestine (PFLP) calling themselves the PFLP General Command were the perpetrators.  The plane landed in Algiers. The Algerian government released 19 non-Israeli passengers, who were flown to Paris the next day.  Ten Israelis were released and flown to Geneva before going on to Tel Aviv.  The  Algerian government continued to hold the plane with seven crew members and five Israeli male passengers.    The PFLP officials said that they had asked the International Red Cross to supervise the exchange of the Israeli crew and passengers in Algiers for captured Palestinian guerrillas in prison in Israel.  The Israeli government denounced the hijacking as airborne piracy, and asked the Algerian authorities to release the plane and the Israeli passengers and crew."
30-Jul-68,Los Angeles,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  Anti-Castro Cuban terrorists bombed the British consulate in Los Angeles.
01-Aug-68,,United States,Unknown,Explosives,0,0,"UNITED STATES.  At sea, 300 miles east of Miami, Florida, the British freighter Lancastrian Prince was the scene of an attempted bombing."
03-Aug-68,New York City,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  The Bank of Tokyo Trust Company in New York was bombed by El Poder Cubano.
06-Aug-68,Ein Yahav,Israel,Other,Explosives,0,0,"ISRAEL.  Palestinian terrorists fired three bazooka shells into the town of Ein Yahav, shattering an empty infirmary but injuring no one."
08-Aug-68,Miami,United States,Anti-Castro Cubans,Explosives,0,0,"UNITED STATES.  A 311-foot British freighter Caribbean Venture was seriously damaged by an underwater explosion as she lay at anchor in Biscayne Bay, Miami, Florida.  Several hours later, El Poder Cubano said it had planted the mine because of British trade with Cuba.  The vessel settled five feet in the water after the blast.  There were no injuries."
10-Aug-68,Izmir,Turkey,Other,Fire or Firebomb,0,0,"TURKEY.  Two firebombs were thrown at the USIS office in Izmir, causing slight damage.  A Turkish communist suspect was arrested."
17-Aug-68,Miami,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  A Mexican airline office in Miami was damaged by a bomb placed by El Poder Cubano.
18-Aug-68,Jerusalem,Israel,al-Fatah,Explosives,10,0,"ISRAEL.  Al Fatah exploded three grenades in Jerusalem's Jewish section, injuring eight Israelis and two Americans."
19-Aug-68,Jerusalem,Israel,al-Fatah,Explosives,0,0,"ISRAEL.  An Al Fatah bomb went off one-half mile from the Parliament building in Jerusalem, causing no damage and no injuries.  "
21-Aug-68,Jerusalem,Israel,Other,Explosives,0,0,"ISRAEL.  A bomb planted by Palestinian terrorists exploded in the garden of the U.S. consulate in east Jerusalem, shattering windows but causing no injuries."
28-Aug-68,Guatemala City,Guatemala,Rebel Armed Forces of Guatemala (FAR),Firearms,0,1,"GUATEMALA.  Members of the FAR killed John Gordon Mein, U.S. ambassador to Guatemala, in downtown Guatemala City as he attempted to avoid being kidnapped by the guerrillas.  A car forced the ambassador's car to the side of the street and a small truck blocked it from behind.  As the guerrillas, some carrying automatic weapons, approached his car, the ambassador opened the door on the other side and ran.  He was struck from behind by a burst of fire from a submachine gun and died instantly.On the following day the FAR issued a communique stating that they had planned to kidnap Mein and hold him as hostage for the release of Camilo Sanchez, one of the FAR commanders who had been captured earlier by government forces."
03-Sep-68,,United States,Other,Explosives,0,0,"UNITED STATES.  Croatian terrorists planted a bomb aboard the Kupres, a Yugoslav ship.  The bomb was located and disarmed after a tip from the FBI."
04-Sep-68,Tel Aviv,Israel,Unknown,Explosives,71,1,ISRAEL.  Three bombs exploded in and near the central bus station in Tel Aviv.   Four hundred Arabs were arrested for questioning.  One Israeli was killed and seventy-one wounded.
11-Sep-68,St. John,Canada,Other,Unknown,0,0,CANADA.  An Air Canada Viscount four-engine turbo-prop flying from St.John to Toronto was hijacked to Cuba by an American claiming to belong to a U.S. Black Power group.
13-Sep-68,Baniyas,Israel,Al-Sa'iqa,Unknown,0,5,"ISRAEL.  Al-Sa'iqa attacked a military police headquarters in Baniyas, an Israeli-occupied area of the Golan Heights.  The facility was destroyed and all five occupants killed."
16-Sep-68,Miami,United States,Anti-Castro Cubans,Firearms,0,0,UNITED STATES.  El Poder Cubano terrorists fired upon the Polish vessel Polancia in a Miami harbor.
19-Sep-68,,Israel,al-Fatah,Firearms,4,1,ISRAEL.  Five members of Al Fatah infiltrated eleven miles past the Jordan River cease-fire line and ambushed an Israeli army patrol.  All the terrorists died and one member of the patrol was killed.  Four were injured.
01-Oct-68,Buenos Aires,Argentina,Movimiento Peronista,Fire or Firebomb,0,0,ARGENTINA.  Two Molotov cocktails exploded on the sidewalk outside the U.S. Embassy in Buenos Aires shortly after midnight.  Pamphlets were found nearby claiming the act for Movimiento Peronista.
03-Oct-68,,Argentina,Unknown,Explosives,0,0,ARGENTINA.  A bomb exploded at the Binational Center building causing no damage or injuries.
07-Oct-68,,Dominican Republic,Unknown,Explosives,0,0,DOMINICAN REPUBLIC. An explosive device was dismantled in front of the USIS building.
07-Oct-68,Santo Domingo,Dominican Republic,Unknown,Explosives,0,0,DOMINICAN REPUBLIC.  An explosive device found in front of the US Marine security guard's residence in Santo Domingo was dismantled.
08-Oct-68,Santiago de Los Caballeros,Dominican Republic,Unknown,Fire or Firebomb,0,0,DOMINICAN REPUBLIC.  A group of youths threw Molotov cocktails at the entrance of the Santiago de los Caballeros Binational Center entrance.  A fire caused slight damage.
09-Oct-68,Cordoba,Argentina,Unknown,Explosives,0,0,"ARGENTINA.  A bomb exploded in the early morning hours in Cordoba, shattering windows of the Binational Center library."
09-Oct-68,La Paz,Bolivia,Unknown,Explosives,0,0,BOLIVIA.  A bomb went off on the ground floor of the entrance to the USIS building in La Paz.
12-Oct-68,Sao Paulo,Brazil,Popular Revolutionary Vanguard (VPR),Firearms,0,1,"BRAZIL.  Members of the Popular Revolutionary Vanguard machine-gunned U.S. Army Captain Charles R. Chandler, in front of his home in Sao Paulo."
14-Oct-68,Buga,Colombia,Unknown,Explosives,0,0,COLOMBIA.  A bomb exploded in a Peace Corp jeep at about 3AM.  A time fuse was used.  Damage was negligible.(According to US State Dept Airgram)
16-Oct-68,Los Angeles,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES - The Socialist Workers Party Building in Los Angeles was bombed by members of El Poder Cubano.
16-Oct-68,Buenos Aires,Argentina,Unknown,Explosives,0,0,"ARGENTINA.  A bomb exploded inside the USIS library in Buenos Aires, blowing out plate glass windows and damaging the interior."
18-Oct-68,Miami,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  El Poder Cubano bombed the Air Canada offices in Miami Beach.
21-Oct-68,Miami,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES - Northwest Orient Airlines offices in Miami were bombed by El Poder Cubano.
23-Oct-68,New York City,United States,Anti-Castro Cubans,Unknown,0,0,UNITED STATES.  Police captured El Poder Cubano terrorists who had attempted to assassinate the Cuban ambassador to the United Nations in New York City.  The ambassador was not injured.
26-Oct-68,Munich,Federal Republic of Germany,Unknown,Unknown,0,3,FEDERAL REPUBLIC OF GERMANY.  Three prominent anti-Communist Croatian emigre leaders were found murdered in a Munich apartment.
27-Oct-68,,Brazil,Unknown,Explosives,0,0,BRAZIL.  A Sears Roebuck store was bombed.
31-Oct-68,Quito,Ecuador,Unknown,Explosives,0,0,"ECUADOR. Two sticks of dynamite which had failed to detonate because of a fuse malfunction, were found in the library of the Quito Binational Center."
04-Nov-68,New Orleans,United States,Black Panthers,Unknown,0,0,"UNITED STATES.  Armed with a revolver, a member of the Black Panthers, Raymond Johnson of Alexandria, LA, hijacked a National Airlines flight #186 to Cuba.  The flight was enroute from New Orleans to Miami.  The hijacker was arrested and held by Cuba."
08-Nov-68,Paris,France,Other,Firearms,0,0,FRANCE.  Two Italians hijacked an Olympic Airways jet en route from Paris to Athens to publicize opposition to the military junta in Greece.  The two brandished a pistol and a grenade.  They gave the 130 passengers handbills telling them that you have just been punished for going to Greece.  Athens headquarters of Olympic Airways promised to prosecute ruthlessly the hijackers.
10-Nov-68,Brussels,Belgium,Other,Explosives,0,0,BELGIUM.  A bomb believed to have been planted by Croatian terrorists was located at the Yugoslav embassy in Brussels.
22-Nov-68,Jerusalem,Israel,al-Fatah,Explosives,52,12,"ISRAEL.  A large bomb exploded in Jerusalem's busiest open-air market, killing 12 and wounding 52."
11-Dec-68,Quito,Ecuador,Unknown,Explosives,0,0,ECUADOR.  A time bomb was discovered in the Quito Binational Center one hour before it was set to explode.
26-Dec-68,Athens,Greece,Other,Firearms,1,1,"GREECE.  An Israeli passenger was killed and a stewardess was wounded in a gunfire attack on an El Al Israel Airlines plane at the Athens airport. In retaliation, Israeli commandos attacked Beirut Airport on December 28, 1968, destroying or damaging 13 airplanes.  Two Palestinians who were sentenced to 17 and 14 years imprisonment for the Athens incident were freed after the hijacking of a Greek airliner to Cairo on July 22, 1970."
29-Dec-68,Bet Shean,Israel,al-Fatah,Explosives,0,0,ISRAEL.  Al Fatah claimed credit for shelling the town of Beisan (Bet Shean) in northeast Israel.
31-Dec-68,Qiryat Shemona,Israel,al-Fatah,Explosives,0,0,"ISRAEL.  Al Fatah shelled the settlement of Kiryat Shmona in upper Galilee. Lebanese authorities denied that the rockets had been from their soil, while Al Fatah claimed that they had operated within Israel."
02-Jan-69,,Greece,Unknown,Unknown,0,0,GREECE.  An Olympic Airways flight from Crete to Athens was hijacked to Cairo by a lone hijacker.
08-Jan-69,Frankfurt,Federal Republic of Germany,Unknown,Fire or Firebomb,0,0,"FEDERAL REPUBLIC OF GERMANY.  Arsonists set fire to the Amerika Haus Library in Frankfurt.  Damage estimated at $5,000."
11-Jan-69,Cochabamba,Bolivia,Unknown,Explosives,0,0,"BOLIVIA.  A bomb thrown from a moving vehicle exploded in front of the U.S. Consulate in Cochabamba, breaking windows."
17-Feb-69,Valencia,Spain,Unknown,Explosives,0,0,"SPAIN.  The North American Study Center in Valencia, a USIS-supported facility, was bombed."
18-Feb-69,Zurich,Switzerland,Popular Front for the Liberation of Palestine (PFL,Firearms,6,1,"SWITZERLAND.  An El Al Israel Airlines jet preparing to take off from Zurich to Tel Aviv was machine-gunned by four Arab terrorists who belonged to the PFLP.  The terrorists fired 200 bullets and lobbed incendiary grenades from their car as the plane taxied down the runway. The pilot was killed.  In the exchange of gunfire between the terrorists and an Israeli airline security guard, one attacker was killed and three Israeli crew members and three passengers were wounded.The three terrorists who surrendered were later tried and sentenced to 12 years hard labor, a sentence Arab states denounced.  The Israeli security guard was tried and acquitted after being accused of killing the Arab attacker after he had surrendered."
21-Feb-69,Jerusalem,Israel,Other,Explosives,8,2,ISRAEL.  A bomb killed two and wounded eight in a central Jerusalem supermarket.
25-Feb-69,Jerusalem,Israel,Popular Front for the Liberation of Palestine (PFL,Explosives,0,0,ISRAEL.  A bomb exploded at the British consulate in Jerusalem.  The PFLP claimed responsibility.
01-Mar-69,Frankfurt,Federal Republic of Germany,Eritrean Liberation Front (ELF),Explosives,0,0,"FEDERAL REPUBLIC OF GERMANY.  A bomb damaged an Ethiopian Airlines Boeing 707 jet at the Frankfurt Airport in Germany.  Several cleaning women were injured.  The Government of Ethiopia blamed the attack on the Syrian-Arab Movement for the Liberation of Eritrea.  The ELF (Eritrean Liberation Front) claimed credit for the bombing, which it said was in retaliation for the use of Ethiopian Airlines planes to transport Ethiopian troops into Eritrea, where they attack Eritrean villages."
02-Mar-69,Melbourne,Australia,Unknown,Fire or Firebomb,0,0,"AUSTRALIA.  The offices of the Australian-American Association in Melbourne were entered through a rear window and ransacked, after which fires were started in piles of paper in two rooms.  $2500 damage was done."
02-Mar-69,Melbourne,Australia,Unknown,Fire or Firebomb,0,0,AUSTRALIA.  A Molotov cocktail was thrown from a passing car at the U.S. consulate general building in Melbourne.
03-Mar-69,Guayaquil,Ecuador,Unknown,Fire or Firebomb,0,0,"ECUADOR.  Five men attacked the U.S. consulate in Guayaquil, throwing Molotov cocktails that started a small fire in the consul general's office."
06-Mar-69,Jerusalem,Israel,Popular Front for the Liberation of Palestine (PFL,Explosives,29,0,"ISRAEL.  Members of the PFLP were responsible for planting a bomb that exploded in the crowded cafeteria of the Hebrew University in Jerusalem, wounding 29 Israeli students."
09-Mar-69,Berlin,Federal Republic of Germany,Unknown,Fire or Firebomb,0,0,"FEDERAL REPUBLIC OF GERMANY.  Molotov cocktails were thrown inside the American Memorial Library in Berlin, causing $2,000 damage."
12-Mar-69,Munich,Federal Republic of Germany,Unknown,Fire or Firebomb,0,0,"FEDERAL REPUBLIC OF GERMANY.  A Molotov cocktail was thrown through a ground floor window of the Munich Amerika Haus, causing little damage."
01-Apr-69,Copenhagen,Denmark,Other,Explosives,0,0,DENMARK.  A time bomb believed to have been planted by Croatian terrorists was disarmed at the Yugoslav embassy in Copenhagen.
20-May-69,Montreal,Canada,Anti-Castro Cubans,Explosives,0,0,"CANADA.  Three Cuban refugees were arrested in New Jersey after they had attempted to bomb the Cuban consulate in Montreal.  The three were members of the Cuban Nationalist Movement, a militant anti-Castro organization.  Indicted by a Grand Jury on June 4th for conspiracy to bomb Cuban government property in Montreal, the men were Felipe Martinez y Blanca, Guillermo Novo Sampol, and Hector Diaz Limontes."
30-May-69,La Paz,Bolivia,Unknown,Fire or Firebomb,0,0,BOLIVIA.  A small explosive device was thrown from a moving car in La Paz and exploded against a side wall of the Bolivian-American Center.
30-May-69,,Jordan,Popular Front for the Liberation of Palestine (PFL,Explosives,0,0,"JORDAN.  The Trans-Arabian Pipeline in Jordan was sabotaged.  An explosive device caused a fire which blocked the flow of oil.  A spokesman of the PFLP claimed that his group had intended to pollute water supplied to Israeli settlements and fisheries in Hutch Valley.  Oil was reported to be seeping into the northern part of the Sea of Galilee, and oil slicks were seen on the Jordan River.  The Israelis managed to contain the blaze after 14 hours."
08-Jun-69,,Angola,Unknown,Explosives,0,0,"ANGOLA.  Two Africans dressed in Portuguese Army uniform and armed with machine guns and grenades hijacked a Portuguese airliner in Angola and diverted it to Pointe-Noire, Congo Republic.  The plane was carrying 11 passengers and five crewmen aboard.  The Portuguese petitioned Brazzaville on June 12 for the release of the DC-3 plane and personnel.  The plane and 13 persons were released but three Portuguese military men were detained pending an investigation."
08-Jun-69,New York City,United States,Anti-Castro Cubans,Explosives,0,0,UNITED STATES.  A bomb exploded at the Loew's Orpheum Theater in New York City causing minor damage.  Press reports alleged it was set off by anti- Castro Cubans protesting the showing of the motion picture Che.
09-Jun-69,Sydney,Australia,Other,Explosives,0,0,AUSTRALIA.  A bomb possibly planted by Croatian extremists exploded at the Yugoslav consulate in Sydney.  There were no injuries.
11-Jun-69,Athens,Greece,Unknown,Explosives,0,0,GREECE.  A bomb wrecked the ticket booth of a theater outside the entrance to the Tameion building which houses USIS facilities in Athens.
11-Jun-69,Fortaleza,Brazil,Unknown,Explosives,0,0,BRAZIL.  A USIS local employee discovered a tin containing eighteen sticks of dynamite with sufficient explosive power to destroy the two story building housing the USIS offices in Fortaleza.  Police considered the bomb professionally constructed.
17-Jun-69,Oakland,United States,Black Panthers,Unknown,0,0,"UNITED STATES.  Willie Lee Brent, a Black Panther charged by the FBI with participating in a shoot-out with police in San Francisco in 1968, hijacked a TransWorld Airlines jet, flight #154, carrying 87 persons from Oakland, California, to New York.  The plane was diverted to Havana, Cuba. It was the longest U.S. hijacking to date.He was in jail in Cuba for two years."
18-Jun-69,Rome,Italy,Eritrean Liberation Front (ELF),Explosives,0,0,ITALY.  An Eritrean student died when a bomb he was preparing in his room in Rome exploded.  Leaflets in the room announced an impending attack by the Eritrean Liberation Front.
18-Jun-69,Karachi,Pakistan,Eritrean Liberation Front (ELF),Firearms,0,0,"PAKISTAN.  Three armed members of the Eritrean Liberation Front (ELF) attacked an Ethiopian airliner at the Karachi airport.  Part of the Boeing 707 burned.  No casualties were reported.  The terrorists, all of whom were captured, told authorities that they carried out the attack to dramatize their opposition to Ethiopian rule in Eritrea.  The three were convicted and sentenced to one year of hard labor.On July 31, the ELF issued a communique warning travelers that they would risk their lives if they flew on Ethiopian Airlines.  The communique said that the ELF would resort to attacks on Ethiopian airliners in retaliation for Ethiopian Air Force attacks on Eritrean villages."
19-Jun-69,Rosario,Argentina,Other,Fire or Firebomb,0,0,ARGENTINA.  Rosario students burned an American flag and threw explosives at the USIS building.
19-Jun-69,Jerusalem,Israel,Other,Explosives,0,0,"ISRAEL.  Palestinian terrorists bombed a power line in Jerusalem, partially blacking out the city."
20-Jun-69,Montevideo,Uruguay,Tupamaros (Uruguay),Unknown,0,0,"URUGUAY.  Two Tupamaro terrorists dressed in police uniforms attacked a facility of General Motors Corporation in Montevideo, causing damage estimated at one million dollars."
24-Jun-69,Haifa,Israel,Popular Front for the Liberation of Palestine (PFL,Explosives,0,0,ISRAEL.  A fire caused by a PFLP bomb burned four hours at an oil pipeline in Haifa.
26-Jun-69,,Argentina,Unknown,Explosives,0,0,ARGENTINA.  A series of bombings occurred in stores of the U.S.-owned Minimax supermarket chain during an official visit by New York State Governor Nelson Rockefeller.  Total damage was estimated at $3 million.
